source,provider,tweet_raw,tweet_processed,pos_count,neg_count,label
playstore,telkomsel,wooooyyyy.... jaringan kaya taaaaaaa!,wooooyyyy jaring kaya taaaaaaa,1,0,1
playstore,telkomsel,BELI PAKET 100RIBU 28 HARI MAIN GAME AJA NGELAG,beli paket ribu main game lambat,2,1,1
playstore,telkomsel,"sinyal nya selalu nge lag, loading lama, yang jelas Telkomsel sinyal nya buruk dan gak bagus, kuota mahal tapi jaringan jelek, ping nya tinggi, ditambah jaringan nya selalu patah patah, -10 dari saya",sinyal nge lag loading telkomsel sinyal buruk bagus kuota mahal jaring jelek ping tambah jaring patah patah,4,6,0
playstore,telkomsel,kenapa tekomsel kok semakin lama kok semakin mahal terus ya harga paketan nya kok terus terusan mahal ya .......,tekomsel mahal harga paket terus mahal,2,2,0
playstore,telkomsel,beli paket aja susah banget,beli paket susah,1,1,0
playstore,telkomsel,RESPON CS NYA BENER2 SANGAT LAMBAT INGIN PAUSE LAYANAN INDIHOME DITUNGGU SEMALAMAN TIDAK MEMBALAS KETIKA MAU DIBALAS SUDAH TIDAK BISA . DAN HARUS AJUKAN ULANG BENER2 TIDAK BAGUS PELAYANAN SANGAT LAMBAT,respon cs bener lambat pause layan indihome tunggu malam balas balas aju ulang bener bagus layan lambat,2,4,0
playstore,telkomsel,"aplikasi hama, mau verifikasi masuk selalu terjadi kesalahan dan coba lagi, gitu terus mau menghubungi customer servise gabisa harus login, aneh banget bikin sistem malah nyusahin pengguna",aplikasi hama verifikasi masuk salah coba gitu hubung customer servise gabisa login aneh bikin sistem nyusahin guna,1,5,0
playstore,telkomsel,sinyal lelet banget ga sepadan dengan harga kuota ngelag nya itu ngelag banget sampe saya ga bisa ngedit dan harus beli kartu baru karena pekerjaan saya editor udh di balas sama aja ngeleg cuman gara gara triii gada sinyal masa Telkomsellll juga ngelag kan operator nya beda,sinyal lelet padan harga kuota lambat lambat sampe ngedit beli kartu kerja editor balas lambat cuman gara gara triii gada sinyal telkomsellll lambat operator beda,2,9,0
playstore,telkomsel,"Dulu nomer utama, sekarang pilihan ke 3. cuma beli masa aktif saja. Maaf di nomer saya paketan mahal, dan cepat habis. Semoga berbenah 👎",nomer utama pilih beli aktif maaf nomer paket mahal cepat habis moga benah,3,2,1
playstore,telkomsel,"PROVIDER MAFIA, QUOTA MAHAL, PAKET BANYAK JEBAKAN, JARINGAN LELET, OPSI2 DI MENU PAKET SEMUA POLA PIKIR CARA MAFIA. ADA YG HARGA TINGGI TAPI QUOTA KECIL HANYA DURASI WAKTU DILAMAIN. DAN BEGITU SEBALINYA. ADA QUOTA SAMA TAPI HARGA BEDA, POKONYA BANYAK JEBAKAN. YG PALING KESAL, DEKAT RUMAH BTS JARAKNYA 100-200 METERAN TP SINYAL LELET BISA TURUN SAMPAI KE 1 GARIS, UDAH SETINGAN LTE 5G JUGA ITU. ATAU BTS NYA HANYA UNTUK PROYEK FIKTIF, TP FUNGSI NYA CUMA BUAT JARINGAN EDGE ?",provider mafia quota mahal paket jebak jaring lelet opsi menu paket pola pikir mafia harga quota durasi dilamain sebal quota harga beda poko jebak kesal rumah bts jarak meter sinyal lelet turun garis ting lte bts proyek fiktif fungsi jaring edge,8,8,0
playstore,telkomsel,ngotak dikit kasih harga itu ajg,ngotak dikit kasih harga ajg,1,1,0
playstore,telkomsel,buruk sekarang sistem pembelian nya dari paketannya jaringannya makin buruk,buruk sistem beli paket jaring buruk,2,3,0
playstore,telkomsel,data paling lemot sedunia,data lot dunia,0,2,0
playstore,telkomsel,sinya nya minta ampunnn. jelek nyaaa.,sinya ampunnn jelek nyaaa,0,1,0
playstore,telkomsel,bermanfaat!,manfaat,1,0,1
playstore,telkomsel,"terimakasih sudah setia selama ini Telkomsel, setia akan sinyal yang tidak stabil, paket yang sangat ramah dikantong masyarakat, penawaran paket yang sangat menguntungkan(bagi kalian), dan Alhamdulillah doa² Kami pengguna yang kecewa terkabulkan, sebab kartu/sinyal selain Telkomsel ditempat saya sudah ada.. terimakasih Smartfren dan Xl semoga kalian lebih baik lagi..dan 1 lagi saya tidak akan pernah kasih bintang lebih dari 1.. buruk kali Telkomsel sekarang, paket tidak normal, sinyal awur²an",terimakasih setia telkomsel setia sinyal stabil paket ramah kantong masyarakat tawar paket untung alhamdulillah doa guna kecewa kabul kartu sinyal telkomsel tempat terimakasih smartfren xl moga kasih bintang buruk kali telkomsel paket normal sinyal awur an,12,7,1
playstore,telkomsel,"makin lama makin ga jelas,,, error melulu",error melulu,0,2,0
playstore,telkomsel,aplikasi nya bagus tapi saya kecewa dengan sistem cashback nya cashback yang seharusnya saya dapat kan udah dua kali ga ada atau ga terkirim padahal saya telah memenuhi semua syarat yang di perlukan,aplikasi bagus kecewa sistem cashback cashback kali kirim penuh syarat perlu,3,3,0
playstore,telkomsel,sering down,down,0,1,0
playstore,telkomsel,"kemaren pas narik orderan, ada aja masalah jaringan Telkomsel, sampai tercancel orderan ku, sekarang baru mati lampu sebentar langsung berantakan jaringan, makin mahal makin banyak tingkah,",kemaren pas narik order jaring telkomsel tercancel order ku mati lampu sebentar langsung beranta jaring mahal tingkah,5,4,1
playstore,telkomsel,"terima kasih Telkomsel, sinyal bagus bonus seru",terima kasih telkomsel sinyal bagus bonus seru,3,0,1
playstore,telkomsel,harga paket semakin mahal,harga paket mahal,2,1,1
playstore,telkomsel,"Harga kuota mahal, Jaringan Buruk",harga kuota mahal jaring buruk,2,3,0
playstore,telkomsel,lemot amat buka aplikasinya,lot buka aplikasi,0,2,0
playstore,telkomsel,telkomsel ini semakin ruwet,telkomsel ruwet,0,1,0
playstore,telkomsel,jaringan makin sini makin lemott,jaring lemott,1,0,1
playstore,telkomsel,"harga mahal nggak ngotak, jaringan kacau, pules, lemah syahwat. begini nih kalau plat merah se enak-enaknya. Semoga hisab kalian tidaklah pedih",harga mahal nggak ngotak jaring kacau pules lemah syahwat plat merah enak enak moga hisab pedih,3,3,0
playstore,telkomsel,top,top,1,0,1
playstore,telkomsel,"harga kuota mahal dan selalu naik, sinyal jelek dan tidak konsisten",harga kuota mahal sinyal jelek konsisten,1,3,0
playstore,telkomsel,susah banget beli paketnya mana sinyalnya jelek,susah beli paket sinyal jelek,1,2,0
playstore,telkomsel,"Hari ini 10/02/2025 untuk area bali sinyalnya parah, kenapa sih tiap turun hujan sinyal selalu sampai blank, buat telkomsel tolong perbaiki segera tambahan keluhan tgl 23/05/2026, mau bayaran di kfc tiba2 sinyal hilang 15 menit, aneh mmg sekelas kota besar denpasar kok simpati sinyalnya gini ya",area bal sinyal parah turun hujan sinyal blank telkomsel tolong baik tambah keluh tgl bayar kfc sinyal hilang menit aneh mmg kelas kota denpasar simpati sinyal gin,2,4,0
playstore,telkomsel,"Ada bug, ah kacau tiba-tiba pindah ke Instragram, iklan steam palsu lagi, banyak iklan, aplikasi berat... Kacau pokonya",bug ah kacau pindah instragram iklan steam palsu iklan aplikasi berat kacau poko,0,2,0
playstore,telkomsel,kalau bisa paket data tidak pakai masa berlakunya,paket data pakai laku,1,1,0
playstore,telkomsel,oke membantu,oke bantu,1,0,1
playstore,telkomsel,"makin kesini harga kuota bulanan makin mahal,tolong dong pihak Telkomsel turunin harga kuota ke harga dulu 😭",kesini harga kuota bulan mahal tolong telkomsel turunin harga kuota harga,3,4,0
playstore,telkomsel,makin jelek,jelek,0,1,0
playstore,telkomsel,"apk ngelag pdahal jaringan bagus heran banget dah, minta ajarin cara bikin aplikasi yang bner sama yang sebelah noh mereka gada lag sama sekali kalo mau beli paket data lewat apk yang ini malah ngeribetin kode qr muncul aja seabad",apk lambat pdahal jaring bagus heran dah ajarin bikin aplikasi bner belah noh gada lag beli paket data apk ngeribetin kode qr muncul abad,3,6,0
playstore,telkomsel,rampok,rampok,0,1,0
playstore,telkomsel,"Telkomsel anjg paket mahal, jaringan tidak terpakai sama sekali",telkomsel anjg paket mahal jaring pakai,2,2,0
playstore,telkomsel,mahal doang jaringan nya lelet nya minta ampun?? jelek bangett sumpahh.,mahal doang jaring lelet ampun jelek bangett sumpahh,1,4,0
playstore,telkomsel,"woi, udah mau 4 hari laporan saya belum di selesaikan. Tiap hari nlp jawabannya sama. mohon di tunggu. Bayar telat aja langsung di blokir wifinya.",woi lapor selesai nlp jawab mohon tunggu bayar telat langsung blokir wifinya,2,2,0
playstore,telkomsel,mau beli paketan eror,beli paket eror,1,1,0
playstore,telkomsel,ABCD BARRA2N SIP MPd NiaN,abcd barra n sip mpd nian,2,0,1
playstore,telkomsel,terbaik,baik,1,0,1
playstore,telkomsel,"ini knp apk nya terjadi kesalahan mulu, paket gue abiss, gua mo beli, dri kemarin lo gk di benerin",knp apk salah mulu paket abiss gua mo beli dri kemarin baik,2,2,0
playstore,telkomsel,heh ngapa tiba2 suka mati!!!,heh ngapa suka mati,0,1,0
playstore,telkomsel,tiba2 pulsa menghilangkan alasannya ada aktifitas internet di apk myTelkomsel,pulsa hilang alas aktifitas internet apk mytelkomsel,0,2,0
playstore,telkomsel,aplikasi error. jaringan bagus tapi di dalam aplikasi terdeteksi TIDAK ADA JARINGAN,aplikasi error jaring bagus aplikasi deteksi jaring,3,3,0
playstore,telkomsel,aku affli kasi ini,affli kasi,0,1,0
playstore,telkomsel,Bagus recommended,bagus recommended,1,0,1
playstore,telkomsel,"rating terburuk untuk kalian, saya ISI 10 Ribu kmrn bukan baru sekali dua kali udah sering, paket data g idup, tiba2 pulsa dah HBS, kalian pikir wawak kalian yg ISI pulsa,",rating buruk isi ribu kmrn kali paket data idup pulsa dah hbs pikir wawak isi pulsa,1,5,0
playstore,telkomsel,Akhirnya.. sekarang sudah oke Telkomsel ny☺☺☺🥰🥰🥰,oke telkomsel ny,1,0,1
playstore,telkomsel,"Jaringan sudah bagus tp sayang banyak kuota atau paket data yg murah hilang ,bagi kami yg ekonomi menengah kebawah ga bisa menikmati paket murah dengan data yg banyak.Nah ini semakin lebih baik cuma tinggal perbaiki aja masa aktifnya menjadi 30hari dengan data yg lumayan, terimakasih",jaring bagus sayang kuota paket data murah hilang ekonomi tengah bawah nikmat paket murah data tinggal baik aktif data lumayan terimakasih,11,5,1
playstore,telkomsel,makin hari makin jelek. 1 bulan cuma 28 hari sama saja menipu konsumen,jelek tipu konsumen,0,1,0
playstore,telkomsel,"aneh banget aplikasi ga bisa di update ,mau beli paket lag parah blok padahal internet lancar penyimpanan masih longgar apalah keidiotan ini",aneh aplikasi update beli paket lag parah blok internet lancar simpan longgar apa idiot,3,5,0
playstore,telkomsel,mantap banget apk nya,mantap apk,1,0,1
playstore,telkomsel,lapor ke cs 188 trus dia gak bisa bantu kendala indihome saya tbtb di tutup telponnya,lapor cs trus bantu kendala indihome tbtb tutup telpon,1,2,0
playstore,telkomsel,Sangat mudah dan cepat untuk melakukan Aktifasi paket dan praktis untuk menjalankan Aplikasi ini.👍,mudah cepat aktifasi paket praktis jalan aplikasi,4,1,1
playstore,telkomsel,Ngelek kali pun padahal udah beli data mahal mahal,ngelek kali beli data mahal mahal,0,3,0
playstore,telkomsel,oii ok,oii ok,1,0,1
playstore,telkomsel,kocak harga paket data gak ngontak jirrr,kocak harga paket data ngontak jirrr,2,2,0
playstore,telkomsel,goblok ngeleg terus harga nya nambah mahal tapi jaringan nambah lemot,goblok lambat harga nambah mahal jaring nambah lot,2,4,0
playstore,telkomsel,apl sampah,apl sampah,0,1,0
playstore,telkomsel,lelet sekali,lelet,0,1,0
playstore,telkomsel,"jaringan bujang, Telkomsel bujangg",jaring bujang telkomsel bujangg,2,0,1
playstore,telkomsel,"jaringan bagus, banyak promonya",jaring bagus promonya,2,0,1
playstore,telkomsel,ok ok aja,ok ok,2,0,1
playstore,telkomsel,"LEBIH ENAK DAN NYAMAN PAKAI KARTU EXSIS,SELAIN MURAH JARINGANNYA JGA SANGAT NGEBUT KENCANG BENEEER,KALAULU GA PERCAYA DOWNLOAD AJA DULU APK EXIS NYA",enak nyaman pakai kartu exsis murah jaring ngebut kencang beneeer kalaulu percaya download apk exis,4,0,1
playstore,telkomsel,kenapa promo data tidak kluar lagi,promo data kluar,1,1,0
playstore,telkomsel,"makin kesini makin as...u ini jaringan Telkomsel, gw rekomendasiin sekarang jangan pake Telkomsel RUGII !!! JARINGAN LEMOT PADAHAL KUOTA MASIH BANYAK !!!",kesini as u jaring telkomsel rekomendasiin pake telkomsel rugi jaring lot kuota,2,3,0
playstore,telkomsel,Tega banget Telkomsel langganan halo niatnya pengen lebih murah taunya malah banyak paket ngga jelas yg perlu di bayar mana telkomsel undinya ngga jelas,tega telkomsel langgan halo niat ken murah tau paket ngga bayar telkomsel undi ngga,4,4,0
playstore,telkomsel,kondisikan kembali cara masuk akun terimakasih,kondisi masuk akun terimakasih,1,1,0
playstore,telkomsel,jaringannya amat sangat lelet. makin gak bener aja ni telkomsel. harus diperbaiki lagi ni. tiap bulan beli paket data belasan gb selalu sia2.,jaring lelet bener ni telkomsel baik ni beli paket data bas gb sia,3,3,0
playstore,telkomsel,aplikasi eror parah.mau beli Kouta pun susah.aplikasi ga guna,aplikasi eror parah beli kuota susah aplikasi,0,6,0
playstore,telkomsel,"apk ini harusnya rating 1 apk banyak gaya , bertele tele , sok sok an, upgrade nyapun bikin user sengsara serta amburadul SANGAT MEMBEBANI ( BERAT) Alias LEMOTTT juga , bikin banting hp gara2 ini apk. produk ini emang Tengilll",apk rating apk gaya tele tele sok sok an upgrade nyapun bikin user sengsara amburadul beban berat alias lemottt bikin banting hp gara apk produk emang tengilll,1,4,0
playstore,telkomsel,"tolong bagian fitur gift di beri lebih banyak pilihan paket, lumayan untuk kita berjualan",tolong fitur gift pilih paket lumayan jual,3,1,1
playstore,telkomsel,makin mahal paket yg sering saya beli gak bisa di beli apa lh,mahal paket beli beli lh,1,1,0
playstore,telkomsel,woi ngeleg,woi lambat,0,1,0
playstore,telkomsel,bisa becus dikit ga bikin jaringan tolol,becus dikit bikin jaring tolol,1,2,0
playstore,telkomsel,"makin parah sinyal kalian, ga kayak dulu",parah sinyal kayak,0,2,0
playstore,telkomsel,harga mahal jaringan gak jelas,harga mahal jaring,2,1,1
playstore,telkomsel,"gada perubahan, makin burik sinyalnya, kualitas 0 harga 100%",gada ubah burik sinyal kualitas harga,2,0,1
playstore,telkomsel,sinyal sampah,sinyal sampah,0,1,0
playstore,telkomsel,"Setiap hari harus berkali kali restart jaringan tapi masih sama, status jaringan lemah",kali kali restart jaring status jaring lemah,2,0,1
playstore,telkomsel,bermanfaat,manfaat,1,0,1
playstore,telkomsel,Kalo gak niat kasih promo kagak usah bikin promo min,niat kasih promo kagak bikin promo min,2,1,1
playstore,telkomsel,"telkomsel makin busuk, jaringan dikota besar saja busuk, paketmingguan/bulanan sama saja busuknya..",telkomsel busuk jaring kota busuk paketmingguan bulan busuk,1,5,0
playstore,telkomsel,"kecewa gua makin hari makin mahal telkom padahal b aj sinyal malah kalo mati lampu gak ada sinyal ,giliran paket"" nya dimahalin ,lama"" orang bakal muak laganan kalo kek gini, setidak ny kurangi harga kuota nya dikira orang di indo sultan"" apa",kecewa gua mahal telkom b aj sinyal mati lampu sinyal gilir paket dimahalin orang muak lagan kek gin tidak ny kurang harga kuota orang indo sultan,3,9,0
playstore,telkomsel,"baru update lagi, kuota yg biasanya dibeli hilang, harga makin mahal, kuota yg masih ada jika sudah lewat masa aktif hilang juga, masa aktif makin pendekk, makin mahal intinyaa. kecewaaaa",update kuota beli hilang harga mahal kuota aktif hilang aktif pendekk mahal intinyaa kecewaaaa,1,6,0
playstore,telkomsel,paket combo sakti 52 RB 26gb saya hilang. harga kuota makin mahal. saya mahasiswa cukup terbebani. tolong kembalikan palet saya yg sering saya beli dari tahun ke tahun.,paket combo sakti rb gb hilang harga kuota mahal mahasiswa beban tolong kembali palet beli,2,4,0
playstore,telkomsel,"kesampingkan kekikiran lu, sinyal lu aneh nyet. gua mau bayar aja gabisa sialan sementara temen temen gua yang kartunya beda pada bisa bayar, maksud lu apaan jing? kartu lu aja yang jelek ternyata",samping kikir sinyal aneh nyet gua bayar gabisa sial temen temen gua kartu beda bayar maksud jing kartu jelek,1,7,0
playstore,telkomsel,jangan pake ini gw deket tower ngeleg setiap hari udah mahal ngelag lagi mending xl murah terus gk Ngelag,pake deket tower lambat mahal lambat mending xl murah lambat,3,4,0
playstore,telkomsel,udah langganan bertahun-tahun paket data semakin mahal banget.lama lama pindah kartu XL kalok paket data semakin mahal,langgan tahun paket data mahal pindah kartu xl kalok paket data mahal,3,4,0
playstore,telkomsel,jaringan lemottttttttt.,jaring lemottttttttt,1,0,1
playstore,telkomsel,"apk bodoh, jaringan trus mau beli kuata",apk bodoh jaring trus beli kuata,1,1,0
playstore,telkomsel,"perbaiki dong jaringannya. kalau dulu telkomsel terkenal dengan jaringan yang cepat. sekarang malah👎👎👎. kalau gini terus mending ganti kartu lain. dan 1 lagi, aplikasi ini sediakan dong fitur offline. bayangkan aja tiba tiba mati lampu tapi butuh paket data",baik jaring telkomsel kenal jaring cepat gin mending ganti kartu aplikasi sedia fitur offline bayang mati lampu butuh paket data,9,4,1
playstore,telkomsel,"lemotnya parah, ingin tahu jumlah saldo pulsa atau kuota saja tdk bs otomatis, harus uninstall dulu, kemudian install ulang, asem.",lot parah saldo pulsa kuota tdk bs otomatis uninstall install ulang asem,2,4,0
playstore,telkomsel,update bukannya makin bagus malah makin berat. lagian aplikasi cek kuota dan pulsa aja dibikin berat. minimal kalau update itu jgn makin diperberat tapi dibikin ringan. update baru malah gak bisa ngecek kuota sama sekali. parah banget,update bagus berat aplikasi cek kuota pulsa bikin berat minimal update jgn berat bikin ringan update ngecek kuota parah,1,7,0
playstore,telkomsel,sinyal internet nya bapuk,sinyal internet jelek,0,1,0
playstore,telkomsel,tolong diperbaiki lagi apk nya masak kok suka eror gini sih,tolong baik apk masak suka eror gin,1,1,0
playstore,telkomsel,"kuota makin mahal sinyal makin parah,suka ganguan terus speed ga sampe 10mbps",kuota mahal sinyal parah suka ganguan speed sampe mbps,0,3,0
